,WikiPageName,Party,State,congress_number
545,Sam_Graves,Republican,Missouri,114
546,Mike_Honda,Democratic,California,114
547,Steve_Israel,Democratic,New York,114
548,Darrell_Issa,Republican,California,114
549,James_Langevin,Democratic,Rhode Island,114
550,Rick_Larsen,Democratic,Washington,114
551,Betty_McCollum,Democratic,Minnesota,114
552,Adam_Schiff,Democratic,California,114
553,Pat_Tiberi,Republican,Ohio,114
554,Bill_Shuster,Republican,Pennsylvania,114
555,Randy_Forbes,Republican,Virginia,114
556,Stephen_F._Lynch,Democratic,Massachusetts,114
557,Jeff_Miller_(Florida_politician),Republican,Florida,114
558,Joe_Wilson_(American_politician),Republican,South Carolina,114
559,Rob_Bishop,Republican,Utah,114
560,Marsha_Blackburn,Republican,Tennessee,114
561,Michael_C._Burgess,Republican,Texas,114
562,John_Carter_(Texas_politician),Republican,Texas,114
563,Tom_Cole,Republican,Oklahoma,114
564,Mario_Díaz-Balart,Republican,Florida,114
565,Trent_Franks,Republican,Arizona,114
566,Scott_Garrett,Republican,New Jersey,114
567,Raúl_Grijalva,Democratic,Arizona,114
568,Jeb_Hensarling,Republican,Texas,114
569,Steve_King,Republican,Iowa,114
570,John_Kline_(politician),Republican,Minnesota,114
571,Candice_Miller,Republican,Michigan,114
572,Tim_Murphy_(American_politician),Republican,Pennsylvania,114
573,Devin_Nunes,Republican,California,114
574,Mike_Rogers_(Alabama_politician),Republican,Alabama,114
575,Dutch_Ruppersberger,Democratic,Maryland,114
576,Tim_Ryan_(politician),Democratic,Ohio,114
577,Linda_Sánchez,Democratic,California,114
578,David_Scott_(Georgia_politician),Democratic,Georgia,114
579,Mike_Turner,Republican,Ohio,114
580,Chris_Van_Hollen,Democratic,Maryland,114
581,Randy_Neugebauer,Republican,Texas,114
582,G._K._Butterfield,Democratic,North Carolina,114
583,Charles_Boustany,Republican,Louisiana,114
584,Emanuel_Cleaver,Democratic,Missouri,114
585,Mike_Conaway,Republican,Texas,114
586,Jim_Costa,Democratic,California,114
587,Henry_Cuellar,Democratic,Texas,114
588,Charlie_Dent,Republican,Pennsylvania,114
589,Jeff_Fortenberry,Republican,Nebraska,114
590,Virginia_Foxx,Republican,North Carolina,114
