ym,zip_code,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,incident_count
17-02,11354,23,0,12,0,3,0,9,0,108
17-02,11355,21,0,9,0,3,0,9,0,116
17-02,11356,9,0,1,0,0,0,8,0,32
17-02,11357,5,0,1,0,0,0,4,0,32
17-02,11358,18,0,4,0,1,0,13,0,40
17-02,11360,4,0,1,0,0,0,3,0,13
17-02,11361,13,0,2,0,0,0,11,0,40
17-02,11362,1,0,1,0,0,0,0,0,19
17-02,11363,0,0,0,0,0,0,0,0,8
17-02,11364,4,0,2,0,0,0,2,0,26
17-02,11365,10,0,1,0,2,0,7,0,40
17-02,11366,5,0,1,0,0,0,5,0,20
17-02,11367,8,0,3,0,0,0,5,0,50
17-02,11368,15,0,2,0,4,0,9,0,82
17-02,11369,20,0,3,0,1,0,16,0,57
17-02,11370,11,0,3,0,1,0,8,0,31
17-02,11372,20,0,6,0,2,0,13,0,74
17-02,11373,15,0,9,0,3,0,3,0,72
17-02,11374,13,0,4,0,0,0,9,0,46
17-02,11375,15,0,5,0,0,0,10,0,73
17-02,11377,28,0,9,0,3,0,16,0,85
17-02,11378,7,0,1,0,0,0,6,0,56
17-02,11379,12,0,2,0,0,0,10,0,44
17-02,11385,19,0,1,0,1,0,17,0,128
17-02,11411,10,0,0,0,0,0,11,0,32
17-02,11412,18,0,0,0,0,0,18,0,52
17-02,11413,36,0,1,0,0,0,35,0,80
17-02,11414,8,0,1,0,0,0,7,0,42
17-02,11415,1,0,0,0,0,0,1,0,16
17-02,11416,14,0,3,0,0,0,11,0,39
17-02,11417,11,0,2,0,2,0,7,0,53
17-02,11418,12,0,3,0,1,0,8,0,46
17-02,11419,6,0,1,0,0,0,5,0,45
17-02,11420,15,0,0,0,0,0,15,0,65
17-02,11421,4,0,2,0,0,0,2,0,36
17-02,11422,20,0,1,0,0,0,20,0,63
17-02,11423,3,0,0,0,0,0,3,0,28
17-02,11426,4,0,1,0,0,0,3,0,24
17-02,11427,4,0,1,0,0,0,3,0,40
17-02,11428,6,0,2,0,0,0,4,0,24
17-02,11429,21,0,4,0,0,0,17,0,46
17-02,11430,0,0,0,0,0,0,0,0,2
17-02,11432,19,0,3,0,0,0,16,0,72
17-02,11433,23,0,3,0,0,0,20,0,51
17-02,11434,23,0,4,0,0,0,20,0,110
17-02,11435,15,0,9,0,0,0,7,0,74
17-02,11436,5,0,1,0,0,0,4,0,29
17-02,11691,10,0,6,0,0,0,5,0,54
17-02,11692,2,0,0,0,0,0,2,0,8
17-02,11693,3,0,0,0,0,0,3,0,15
17-02,11694,5,0,0,0,0,0,5,0,13
17-02,11697,1,0,0,0,0,0,1,0,3
17-03,10000,0,0,0,0,0,0,0,0,5
17-03,10001,13,0,8,0,1,0,4,0,162
17-03,10002,29,0,11,0,5,0,13,0,139
17-03,10003,9,0,3,0,3,0,3,0,80
17-03,10004,2,0,0,0,0,0,2,0,15
17-03,10005,2,0,1,0,1,0,0,0,14
17-03,10006,3,0,1,0,1,0,1,0,10
17-03,10007,15,0,2,0,3,0,10,0,43
17-03,10009,15,0,2,0,3,0,10,0,56
17-03,10010,11,0,4,0,0,0,7,0,81
17-03,10011,18,0,6,0,2,0,10,0,96
17-03,10012,6,0,1,0,2,0,3,0,64
17-03,10013,17,0,8,0,2,0,7,0,125
17-03,10014,9,0,6,0,2,0,1,0,42
17-03,10016,21,0,6,0,3,0,12,0,148
17-03,10017,18,0,6,0,3,0,9,0,81
17-03,10018,14,0,5,0,4,0,5,0,126
17-03,10019,12,0,6,0,1,0,5,0,160
17-03,10020,0,0,0,0,0,0,0,0,2
17-03,10021,5,0,1,0,1,0,3,0,36
17-03,10022,21,0,6,0,2,0,13,0,121
17-03,10023,6,0,5,0,0,0,1,0,52
17-03,10024,11,0,3,0,2,0,7,0,57
17-03,10025,12,0,3,0,1,0,8,0,54
17-03,10026,16,0,5,0,0,0,11,0,39
17-03,10027,13,0,4,0,1,0,8,0,65
17-03,10028,2,0,2,0,0,0,0,0,21
17-03,10029,8,0,6,0,1,0,1,0,64
17-03,10030,8,0,1,0,0,0,7,0,32
17-03,10031,2,0,1,0,0,0,1,0,35
17-03,10032,12,0,5,0,0,0,7,0,49
17-03,10033,7,0,2,0,0,0,5,0,57
17-03,10034,18,0,5,0,0,0,13,0,52
17-03,10035,13,0,9,0,1,0,3,0,68
17-03,10036,14,0,3,0,4,0,7,0,174
17-03,10037,5,0,3,0,0,0,2,0,24
17-03,10038,12,0,5,0,1,0,6,0,42
17-03,10039,10,0,1,0,0,0,9,0,27
17-03,10040,7,0,0,0,0,0,7,0,24
17-03,10065,7,0,4,0,2,0,1,0,52
17-03,10075,4,0,2,0,0,0,2,0,23
17-03,10105,0,0,0,0,0,0,0,0,2
17-03,10111,0,0,0,0,0,0,0,0,1
17-03,10112,0,0,0,0,0,0,0,0,1
17-03,10118,0,0,0,0,0,0,0,0,2
17-03,10119,0,0,0,0,0,0,0,0,3
17-03,10121,1,0,0,0,0,0,1,0,2
17-03,10123,0,0,0,0,0,0,0,0,3
17-03,10128,4,0,2,0,0,0,2,0,28
17-03,10151,0,0,0,0,0,0,0,0,1
17-03,10155,0,0,0,0,0,0,0,0,1
17-03,10165,0,0,0,0,0,0,0,0,1
17-03,10169,0,0,0,0,0,0,0,0,2
17-03,10172,0,0,0,0,0,0,0,0,1
17-03,10174,0,0,0,0,0,0,0,0,1
17-03,10271,0,0,0,0,0,0,0,0,1
17-03,10280,0,0,0,0,0,0,0,0,1
17-03,10281,0,0,0,0,0,0,0,0,2
17-03,10282,0,0,0,0,0,0,0,0,1
17-03,10301,14,0,0,0,0,0,14,0,67
17-03,10302,0,0,0,0,0,0,0,0,1
17-03,10304,23,0,4,0,1,0,18,0,89
17-03,10305,12,0,0,0,0,0,12,0,77
17-03,10306,11,0,2,0,0,0,9,0,77
17-03,10307,2,0,0,0,0,0,2,0,8
17-03,10308,3,0,1,0,0,0,2,0,22
17-03,10309,14,0,1,0,0,0,13,0,48
17-03,10310,6,0,3,0,0,0,3,0,34
17-03,10312,16,0,3,0,0,0,13,0,61
17-03,10314,2,0,0,0,0,0,2,0,23
17-03,10451,17,0,5,0,2,0,10,0,99
17-03,10452,10,0,4,0,0,0,6,0,45
17-03,10453,24,0,7,0,1,0,16,0,69
17-03,10454,20,0,7,0,4,0,9,0,79
17-03,10455,19,0,7,0,1,0,11,0,79
17-03,10456,19,0,6,0,1,0,12,0,67
17-03,10457,22,0,6,0,2,0,14,0,111
17-03,10458,35,1,4,1,1,0,30,0,102
17-03,10459,20,0,7,0,1,0,12,0,102
17-03,10460,36,0,8,0,2,0,26,0,102
17-03,10461,26,0,4,0,0,0,22,0,110
17-03,10462,23,0,10,0,0,0,13,0,81
17-03,10463,11,1,7,1,0,0,4,0,83
17-03,10464,0,0,0,0,0,0,0,0,2
17-03,10465,11,0,0,0,1,0,10,0,57
17-03,10466,19,0,6,0,0,0,13,0,95
17-03,10467,22,0,10,0,2,0,10,0,128
17-03,10468,28,0,10,0,3,0,16,0,77
17-03,10469,26,0,3,0,0,0,23,0,90
17-03,10470,14,0,1,0,0,0,13,0,48
17-03,10471,11,0,2,0,0,0,9,0,27
17-03,10472,27,1,3,1,0,0,24,0,78
17-03,10473,6,0,2,0,0,0,4,0,56
17-03,10474,5,0,3,0,0,0,2,0,49
17-03,10475,12,0,4,0,0,0,8,0,52
17-03,11001,3,0,0,0,0,0,3,0,9
17-03,11004,11,0,4,0,0,0,7,0,26
17-03,11040,1,0,0,0,0,0,1,0,6
17-03,11101,31,0,6,0,3,0,22,0,170
17-03,11102,3,0,0,0,0,0,3,0,26
17-03,11103,7,0,2,0,0,0,5,0,37
17-03,11104,3,0,3,0,0,0,0,0,28
17-03,11105,3,0,2,0,0,0,1,0,23
17-03,11106,6,1,1,0,2,0,3,1,29
17-03,11201,28,0,4,0,0,0,24,0,148
17-03,11203,47,0,8,0,4,0,35,0,125
17-03,11204,20,0,8,0,3,0,9,0,77
17-03,11205,16,0,5,0,2,0,9,0,87
17-03,11206,25,0,9,0,6,0,10,0,136
17-03,11207,69,0,14,0,2,0,53,0,205
17-03,11208,51,0,16,0,0,0,35,0,133
17-03,11209,11,0,2,0,1,0,8,0,96
17-03,11210,31,0,9,0,3,0,19,0,114
17-03,11211,27,0,11,0,4,0,13,0,112
17-03,11212,53,0,21,0,0,0,32,0,171
17-03,11213,31,0,7,0,0,0,24,0,102
17-03,11214,10,0,5,0,2,0,3,0,77
17-03,11215,18,0,6,0,3,0,9,0,98
17-03,11216,27,0,3,0,1,0,23,0,78
17-03,11217,21,0,7,0,7,0,8,0,100
17-03,11218,21,0,6,0,1,0,14,0,91
17-03,11219,17,0,12,0,0,0,5,0,104
17-03,11220,25,0,10,0,1,0,14,0,114
17-03,11221,16,0,1,0,1,0,14,0,91
17-03,11222,17,0,2,0,1,0,14,0,87
17-03,11223,24,0,11,0,0,0,13,0,90
17-03,11224,6,0,1,0,0,0,5,0,46
17-03,11225,18,0,3,0,0,0,15,0,59
17-03,11226,63,0,13,0,5,0,45,0,172
17-03,11228,18,0,4,0,0,0,14,0,46
17-03,11229,19,1,8,1,1,0,10,0,83
17-03,11230,35,0,13,0,3,0,19,0,161
17-03,11231,8,0,2,0,0,0,6,0,77
17-03,11232,11,0,4,0,1,0,6,0,53
17-03,11233,24,1,3,1,0,0,21,0,100
17-03,11234,32,0,5,0,2,0,25,0,172
17-03,11235,29,0,9,0,4,0,16,0,124
17-03,11236,30,0,5,0,0,0,25,0,138
17-03,11237,18,0,4,0,2,0,12,0,77
17-03,11238,23,0,4,0,1,0,18,0,60
17-03,11239,6,0,1,0,1,0,4,0,25
17-03,11249,10,0,2,0,0,0,8,0,61
17-03,11354,13,0,10,0,0,0,3,0,112
17-03,11355,34,1,7,0,3,1,24,0,105
17-03,11356,3,0,2,0,0,0,1,0,36
17-03,11357,18,0,0,0,0,0,18,0,47
17-03,11358,13,0,3,0,1,0,9,0,44
17-03,11360,3,0,1,0,0,0,2,0,20
17-03,11361,8,0,2,0,0,0,6,0,62
17-03,11362,2,0,1,0,0,0,1,0,23
17-03,11363,3,0,1,0,0,0,2,0,13
17-03,11364,6,0,1,0,0,0,5,0,21
17-03,11365,10,0,1,0,0,0,9,0,53
17-03,11366,6,0,0,0,0,0,6,0,30
17-03,11367,12,0,4,0,0,0,8,0,84
17-03,11368,24,0,8,0,4,0,12,0,96
17-03,11369,13,1,3,1,0,0,10,0,70
17-03,11370,8,0,1,0,0,0,7,0,41
17-03,11372,16,0,6,0,3,0,7,0,75
17-03,11373,23,0,6,0,1,0,16,0,106
17-03,11374,14,0,4,0,0,0,10,0,51
17-03,11375,18,0,6,0,1,0,11,0,86
17-03,11377,31,0,8,0,6,0,17,0,97
17-03,11378,9,0,4,0,0,0,5,0,70
17-03,11379,10,0,2,0,1,0,7,0,51
17-03,11385,31,0,17,0,2,0,12,0,148
17-03,11411,18,0,1,0,0,0,17,0,41
17-03,11412,9,0,3,0,0,0,6,0,45
17-03,11413,32,0,3,0,0,0,29,0,88
17-03,11414,11,0,1,0,0,0,10,0,31
17-03,11415,5,0,3,0,0,0,2,0,26
17-03,11416,15,0,1,0,0,0,14,0,41
17-03,11417,5,0,0,0,0,0,5,0,46
17-03,11418,8,0,2,0,0,0,6,0,52
17-03,11419,7,0,3,0,0,0,4,0,57
17-03,11420,15,0,2,0,0,0,13,0,91
17-03,11421,3,1,3,0,0,0,0,1,42
17-03,11422,27,0,3,0,0,0,24,0,79
17-03,11423,6,0,0,0,0,0,6,0,40
17-03,11426,7,0,1,0,0,0,6,0,38
17-03,11427,7,0,0,0,0,0,7,0,28
17-03,11428,6,0,1,0,1,0,4,0,35
17-03,11429,14,0,4,0,0,0,10,0,51
17-03,11430,0,0,0,0,0,0,0,0,1
17-03,11432,28,0,10,0,0,0,18,0,131
17-03,11433,11,0,3,0,0,0,8,0,51
17-03,11434,39,0,7,0,0,0,32,0,130
17-03,11435,34,0,6,0,0,0,28,0,92
17-03,11436,12,0,4,0,0,0,8,0,30
17-03,11691,20,0,4,0,1,0,15,0,69
17-03,11692,1,0,1,0,0,0,0,0,15
17-03,11693,5,0,1,0,0,0,4,0,17
17-03,11694,3,0,2,0,0,0,1,0,17
17-03,11697,0,0,0,0,0,0,0,0,1
17-04,10000,2,0,1,0,1,0,0,0,13
17-04,10001,13,0,3,0,2,0,8,0,168
17-04,10002,32,0,9,0,7,0,16,0,137
17-04,10003,19,0,6,0,6,0,7,0,89
17-04,10004,2,0,2,0,0,0,0,0,15
17-04,10005,4,0,0,0,1,0,3,0,16
17-04,10006,1,0,0,0,0,0,1,0,8
17-04,10007,11,0,3,0,1,0,7,0,40
17-04,10009,6,1,3,0,1,1,2,0,38
17-04,10010,6,0,4,0,1,0,1,0,56
17-04,10011,21,0,5,0,7,0,9,0,110
17-04,10012,12,0,5,0,3,0,4,0,86
17-04,10013,7,0,1,0,1,0,5,0,119
17-04,10014,7,0,2,0,1,0,4,0,51
17-04,10016,33,0,11,0,5,0,17,0,141
17-04,10017,16,0,3,0,5,0,8,0,68
17-04,10018,14,0,2,0,3,0,10,0,97
17-04,10019,20,0,7,0,8,0,5,0,155
17-04,10020,1,0,1,0,0,0,0,0,8
17-04,10021,2,0,1,0,1,0,0,0,31
17-04,10022,16,0,4,0,2,0,10,0,116
17-04,10023,5,0,0,0,0,0,5,0,48
17-04,10024,9,0,4,0,0,0,5,0,49
17-04,10025,13,0,1,0,1,0,11,0,65
17-04,10026,5,0,1,0,2,0,2,0,36
17-04,10027,18,0,1,0,3,0,14,0,78
17-04,10028,1,0,1,0,0,0,0,0,20
17-04,10029,11,0,4,0,0,0,7,0,59
17-04,10030,4,0,1,0,0,0,3,0,35
17-04,10031,2,0,0,0,0,0,2,0,28
17-04,10032,12,0,5,0,2,0,5,0,60
17-04,10033,1,0,0,0,0,0,1,0,55
17-04,10034,14,0,5,0,1,0,8,0,55
17-04,10035,26,0,5,0,1,0,20,0,72
17-04,10036,19,0,9,0,6,0,4,0,155
17-04,10037,11,1,3,0,1,0,7,1,33
17-04,10038,2,0,1,0,0,0,1,0,20
17-04,10039,5,0,4,0,1,0,0,0,23
17-04,10040,10,0,1,0,1,0,8,0,38
17-04,10041,0,0,0,0,0,0,0,0,1
17-04,10065,6,0,3,0,0,0,2,0,62
17-04,10075,7,1,1,1,2,0,4,0,37
17-04,10112,1,0,0,0,1,0,0,0,1
17-04,10119,0,0,0,0,0,0,0,0,1
17-04,10128,6,0,0,0,2,0,4,0,35
17-04,10155,1,0,0,0,1,0,0,0,1
17-04,10165,0,0,0,0,0,0,0,0,1
17-04,10167,2,0,0,0,0,0,2,0,1
17-04,10168,0,0,0,0,0,0,0,0,1
17-04,10169,1,0,0,0,1,0,0,0,3
17-04,10172,0,0,0,0,0,0,0,0,2
17-04,10271,1,0,0,0,1,0,0,0,1
17-04,10280,0,0,0,0,0,0,0,0,1
17-04,10282,1,0,1,0,0,0,0,0,2
17-04,10301,19,2,0,0,1,0,18,2,64
17-04,10302,0,0,0,0,0,0,0,0,2
17-04,10304,17,0,2,0,2,0,13,0,77
17-04,10305,17,0,3,0,0,0,14,0,76
17-04,10306,15,0,3,0,0,0,12,0,78
17-04,10307,1,0,0,0,0,0,1,0,13
17-04,10308,18,0,3,0,0,0,15,0,35
17-04,10309,11,0,0,0,0,0,13,0,36
17-04,10310,11,0,1,0,1,0,9,0,50
17-04,10312,12,0,0,0,0,0,12,0,53
17-04,10314,5,0,0,0,0,0,5,0,16
17-04,10451,19,0,5,0,2,0,12,0,93
17-04,10452,16,0,4,0,1,0,11,0,51
17-04,10453,23,0,3,0,3,0,18,0,73
17-04,10454,15,1,1,0,1,0,13,1,78
17-04,10455,23,0,5,0,2,0,16,0,70
17-04,10456,16,0,6,0,1,0,10,0,70
17-04,10457,29,0,9,0,1,0,19,0,79
17-04,10458,24,0,4,0,2,0,18,0,101
17-04,10459,15,1,4,1,3,0,8,0,66
17-04,10460,31,1,3,0,1,1,27,0,86
17-04,10461,28,0,6,0,1,0,21,0,76
17-04,10462,20,0,5,0,1,0,14,0,85
17-04,10463,18,0,3,0,1,0,14,0,81
17-04,10464,11,0,0,0,0,0,11,0,9
17-04,10465,22,1,2,0,0,0,20,1,68
17-04,10466,28,0,4,0,1,0,23,0,109
17-04,10467,29,0,6,0,0,0,23,0,114
17-04,10468,20,0,5,0,0,0,15,0,68
17-04,10469,38,0,4,0,0,0,34,0,84
17-04,10470,9,0,1,0,0,0,8,0,32
17-04,10471,5,0,0,0,0,0,5,0,18
17-04,10472,12,0,5,0,1,0,6,0,77
17-04,10473,7,0,4,0,0,0,3,0,55
17-04,10474,11,0,3,0,0,0,8,0,46
17-04,10475,3,0,1,0,0,0,2,0,48
17-04,11001,1,0,0,0,0,0,1,0,9
17-04,11004,6,0,0,0,0,0,6,0,28
17-04,11005,1,0,0,0,0,0,1,0,2
17-04,11040,4,0,0,0,0,0,4,0,3
17-04,11101,17,0,2,0,2,0,13,0,156
17-04,11102,9,0,2,0,3,0,4,0,24
17-04,11103,5,0,2,0,2,0,1,0,32
17-04,11104,13,1,3,0,4,0,6,1,31
17-04,11105,2,0,1,0,0,0,1,0,25
17-04,11106,2,0,0,0,0,0,2,0,35
17-04,11201,20,0,3,0,3,0,14,0,112
17-04,11203,54,0,4,0,1,0,49,0,148
17-04,11204,17,0,6,0,0,0,11,0,61
17-04,11205,6,0,1,0,0,0,5,0,65
17-04,11206,27,0,6,0,7,0,14,0,100
17-04,11207,46,0,8,0,1,0,37,0,170
17-04,11208,30,0,6,0,0,0,24,0,120
17-04,11209,10,0,7,0,1,0,2,0,76
17-04,11210,26,0,5,0,4,0,17,0,100
17-04,11211,31,0,9,0,7,0,15,0,106
17-04,11212,47,1,5,0,1,0,41,1,139
17-04,11213,21,0,3,0,3,0,15,0,100
17-04,11214,11,0,3,0,2,0,6,0,89
17-04,11215,12,0,2,0,2,0,8,0,79
17-04,11216,27,0,7,0,6,0,15,0,72
17-04,11217,26,0,6,0,3,0,17,0,103
17-04,11218,33,0,10,0,7,0,16,0,92
17-04,11219,15,0,4,0,2,0,9,0,80
17-04,11220,12,0,5,0,1,0,6,0,85
17-04,11221,34,0,6,0,7,0,21,0,96
17-04,11222,14,0,2,0,3,0,9,0,77
17-04,11223,18,0,6,0,3,0,9,0,87
17-04,11224,12,0,2,0,1,0,9,0,48
17-04,11225,23,0,3,0,2,0,18,0,70
17-04,11226,68,0,5,0,8,0,55,0,163
17-04,11228,11,1,2,1,1,0,8,0,50
17-04,11229,15,0,5,0,0,0,10,0,79
17-04,11230,23,0,4,0,2,0,17,0,110
17-04,11231,9,0,3,0,0,0,6,0,46
17-04,11232,3,0,1,0,0,0,2,0,47
17-04,11233,29,0,10,0,2,0,17,0,97
17-04,11234,35,0,4,0,2,0,29,0,160
17-04,11235,25,0,8,0,1,0,16,0,86
17-04,11236,39,0,8,0,1,0,30,0,162
17-04,11237,11,1,3,1,0,0,8,0,73
17-04,11238,11,0,2,0,3,0,6,0,59
17-04,11239,8,0,2,0,0,0,6,0,26
17-04,11249,8,0,5,0,2,0,1,0,49
17-04,11354,24,0,10,0,0,0,14,0,109
17-04,11355,14,0,6,0,1,0,7,0,98
17-04,11356,5,0,2,0,0,0,3,0,25
17-04,11357,7,0,2,0,0,0,5,0,42
17-04,11358,17,0,1,0,0,0,16,0,51
17-04,11360,4,0,1,0,0,0,3,0,16
17-04,11361,11,0,5,0,0,0,6,0,44
17-04,11362,4,0,1,0,0,0,3,0,27
17-04,11363,1,0,0,0,0,0,1,0,9
17-04,11364,4,0,1,0,0,0,3,0,29
17-04,11365,8,0,1,0,0,0,7,0,38
17-04,11366,5,0,1,0,0,0,4,0,35
17-04,11367,12,0,2,0,0,0,10,0,42
17-04,11368,24,0,5,0,4,0,15,0,93
17-04,11369,6,0,3,0,1,0,2,0,54
17-04,11370,11,0,0,0,1,0,10,0,44
17-04,11372,16,0,8,0,1,0,7,0,82
17-04,11373,21,0,5,0,5,0,11,0,101
17-04,11374,7,0,2,0,0,0,5,0,38
17-04,11375,14,0,4,0,0,0,10,0,56
17-04,11377,34,0,0,0,5,0,29,0,97
17-04,11378,13,0,0,0,3,0,10,0,61
17-04,11379,10,0,2,0,1,0,7,0,33
17-04,11385,45,0,9,0,3,0,33,0,138
17-04,11411,9,0,0,0,0,0,9,0,22
17-04,11412,14,0,3,0,0,0,11,0,35
17-04,11413,31,0,1,0,0,0,30,0,82
17-04,11414,15,0,3,0,0,0,12,0,33
17-04,11415,2,0,2,0,0,0,0,0,17
17-04,11416,9,0,0,0,2,0,7,0,36
17-04,11417,8,0,2,0,1,0,5,0,48
17-04,11418,2,0,1,0,1,0,0,0,33
17-04,11419,20,0,3,0,0,0,17,0,58
17-04,11420,25,0,1,0,0,0,24,0,71
17-04,11421,9,0,2,0,2,0,5,0,33
17-04,11422,28,0,2,0,0,0,26,0,78
17-04,11423,15,0,0,0,0,0,15,0,34
17-04,11426,3,0,1,0,1,0,1,0,27
17-04,11427,6,0,0,0,0,0,6,0,28
17-04,11428,8,0,2,0,0,0,6,0,30
17-04,11429,29,0,1,0,1,0,27,0,35
17-04,11430,0,0,0,0,0,0,0,0,3
17-04,11432,11,0,4,0,1,0,6,0,85
17-04,11433,13,0,3,0,0,0,10,0,50
17-04,11434,36,0,8,0,0,0,28,0,109
17-04,11435,20,0,5,0,1,0,14,0,80
17-04,11436,7,0,1,0,0,0,6,0,30
17-04,11691,9,0,2,0,0,0,7,0,61
17-04,11692,2,0,1,0,0,0,1,0,14
17-04,11693,2,0,0,0,0,0,2,0,10
17-04,11694,7,0,1,0,0,0,6,0,9
17-04,11697,1,0,0,0,0,0,1,0,2
17-05,10000,0,0,0,0,0,0,0,0,5
17-05,10001,23,0,9,0,5,0,9,0,202
17-05,10002,36,0,10,0,8,0,18,0,138
17-05,10003,14,1,7,0,4,1,3,0,83
17-05,10004,3,0,2,0,0,0,1,0,19
17-05,10005,1,0,1,0,0,0,0,0,13
17-05,10006,2,0,1,0,0,0,1,0,13
17-05,10007,15,0,5,0,3,0,7,0,41
17-05,10009,10,0,4,0,1,0,5,0,51
17-05,10010,19,0,5,0,5,0,9,0,66
17-05,10011,13,1,3,1,4,0,6,0,116
17-05,10012,9,0,3,0,3,0,3,0,83
17-05,10013,28,0,12,0,2,0,14,0,160
17-05,10014,3,0,1,0,1,0,1,0,38
17-05,10016,20,0,6,0,7,0,7,0,145
17-05,10017,27,0,3,0,8,0,16,0,93
17-05,10018,13,0,3,0,5,0,5,0,120
17-05,10019,12,0,6,0,2,0,4,0,152
17-05,10020,0,0,0,0,0,0,0,0,10
17-05,10021,5,0,1,0,2,0,2,0,31
17-05,10022,31,0,10,0,5,0,18,0,141
17-05,10023,9,0,4,0,4,0,1,0,65
17-05,10024,9,0,6,0,2,0,1,0,57
17-05,10025,9,0,1,0,3,0,5,0,80
17-05,10026,10,0,4,0,1,0,6,0,45
17-05,10027,18,0,3,0,4,0,11,0,75
17-05,10028,4,0,2,0,2,0,0,0,24
17-05,10029,11,0,7,0,1,0,3,0,82
17-05,10030,10,0,3,0,0,0,7,0,36
17-05,10031,3,0,1,0,1,0,1,0,36
17-05,10032,23,0,4,0,0,0,19,0,51
17-05,10033,17,0,6,0,2,0,9,0,51
17-05,10034,18,0,2,0,5,0,11,0,70
17-05,10035,31,0,10,0,0,0,21,0,102
17-05,10036,43,1,35,1,2,0,6,0,165
17-05,10037,7,0,2,0,1,0,4,0,27
17-05,10038,5,0,2,0,2,0,1,0,26
17-05,10039,4,0,1,0,0,0,3,0,28
17-05,10040,9,0,2,0,0,0,7,0,38
17-05,10065,8,0,1,0,0,0,7,0,66
17-05,10069,0,0,0,0,0,0,0,0,2
17-05,10075,4,0,3,0,0,0,1,0,24
17-05,10106,1,0,0,0,0,0,1,0,1
17-05,10107,1,0,1,0,0,0,0,0,1
17-05,10110,1,0,0,0,1,0,0,0,1
17-05,10118,0,0,0,0,0,0,0,0,2
17-05,10119,0,0,0,0,0,0,0,0,1
17-05,10121,0,0,0,0,0,0,0,0,1
17-05,10128,8,0,0,0,3,0,5,0,37
17-05,10153,0,0,0,0,0,0,0,0,1
17-05,10165,0,0,0,0,0,0,0,0,3
17-05,10168,0,0,0,0,0,0,0,0,1
17-05,10172,0,0,0,0,0,0,0,0,2
17-05,10173,0,0,0,0,0,0,0,0,1
17-05,10278,0,0,0,0,0,0,0,0,1
17-05,10280,3,0,0,0,1,0,2,0,5
17-05,10301,16,0,4,0,1,0,11,0,76
17-05,10302,1,0,0,0,0,0,1,0,2
17-05,10304,22,0,2,0,2,0,18,0,70
17-05,10305,12,0,0,0,0,0,12,0,70
17-05,10306,23,0,4,0,1,0,18,0,88
17-05,10307,4,0,0,0,1,0,3,0,11
17-05,10308,11,0,0,0,0,0,11,0,37
17-05,10309,14,0,1,0,0,0,13,0,43
17-05,10310,24,0,2,0,0,0,22,0,41
17-05,10312,22,0,2,0,1,0,19,0,62
17-05,10314,3,0,0,0,0,0,3,0,24
17-05,10451,26,0,8,0,3,0,15,0,104
17-05,10452,21,0,3,0,0,0,18,0,73
17-05,10453,20,0,4,0,1,0,15,0,79
17-05,10454,13,0,5,0,0,0,8,0,93
17-05,10455,19,0,4,0,3,0,12,0,69
17-05,10456,20,0,7,0,0,0,13,0,72
17-05,10457,21,0,5,0,0,0,16,0,80
17-05,10458,31,0,11,0,0,0,20,0,118
17-05,10459,23,0,5,0,2,0,16,0,104
17-05,10460,38,0,9,0,3,0,26,0,113
17-05,10461,28,0,7,0,0,0,21,0,125
17-05,10462,32,0,2,0,2,0,28,0,91
17-05,10463,12,0,4,0,1,0,7,0,94
17-05,10464,1,0,0,0,0,0,1,0,7
17-05,10465,4,0,2,0,0,0,2,0,65
17-05,10466,40,0,4,0,0,0,36,0,105
17-05,10467,36,0,10,0,0,0,26,0,112
17-05,10468,24,0,9,0,2,0,13,0,77
17-05,10469,36,0,3,0,2,0,31,0,93
17-05,10470,8,0,0,0,1,0,7,0,38
17-05,10471,5,0,0,0,0,0,5,0,21
17-05,10472,22,0,5,0,2,0,15,0,85
17-05,10473,16,0,2,0,0,0,14,0,65
17-05,10474,9,0,1,0,0,0,8,0,60
17-05,10475,14,0,4,0,1,0,9,0,68
17-05,11001,2,0,1,0,0,0,1,0,8
17-05,11004,6,0,0,0,2,0,4,0,30
17-05,11005,1,0,0,0,0,0,1,0,3
17-05,11040,1,0,0,0,0,0,1,0,2
17-05,11101,52,0,8,0,8,0,36,0,165
17-05,11102,3,0,0,0,1,0,2,0,27
17-05,11103,10,0,2,0,3,0,5,0,26
17-05,11104,5,0,1,0,2,0,2,0,27
17-05,11105,5,0,0,0,2,0,3,0,34
17-05,11106,15,0,1,0,1,0,13,0,35
17-05,11109,0,0,0,0,0,0,0,0,1
17-05,11201,26,0,6,0,9,0,11,0,157
17-05,11203,71,0,10,0,6,0,55,0,199
17-05,11204,20,0,6,0,4,0,10,0,87
17-05,11205,18,0,6,0,4,0,8,0,67
17-05,11206,26,0,3,0,6,0,17,0,135
17-05,11207,81,0,15,0,1,0,65,0,199
17-05,11208,44,0,9,0,4,0,31,0,132
17-05,11209,7,0,3,0,1,0,3,0,73
17-05,11210,20,0,3,0,3,0,14,0,127
17-05,11211,35,0,15,0,12,0,8,0,141
17-05,11212,42,0,7,0,1,0,34,0,147
17-05,11213,31,0,5,0,4,0,22,0,90
17-05,11214,22,0,8,0,2,0,12,0,98
17-05,11215,18,0,3,0,1,0,14,0,103
17-05,11216,27,0,5,0,6,0,16,0,92
17-05,11217,25,0,10,0,6,0,9,0,137
