hour,ym,count
18,11/01/2012,792
18,11/01/2013,885
18,11/01/2014,877
18,11/01/2015,930
18,11/01/2016,748
18,11/01/2017,750
18,12/01/2012,818
18,12/01/2013,908
18,12/01/2014,918
18,12/01/2015,987
18,12/01/2016,749
18,12/01/2017,851
19,01/01/2013,632
19,01/01/2014,649
19,01/01/2015,600
19,01/01/2016,663
19,01/01/2017,572
19,01/01/2018,593
19,02/01/2013,538
19,02/01/2014,635
19,02/01/2015,527
19,02/01/2016,677
19,02/01/2017,540
19,02/01/2018,511
19,03/01/2013,625
19,03/01/2014,588
19,03/01/2015,652
19,03/01/2016,683
19,03/01/2017,577
19,03/01/2018,559
19,04/01/2013,640
19,04/01/2014,638
19,04/01/2015,583
19,04/01/2016,680
19,04/01/2017,526
19,04/01/2018,33
19,05/01/2013,758
19,05/01/2014,689
19,05/01/2015,798
19,05/01/2016,680
19,05/01/2017,604
19,06/01/2013,803
19,06/01/2014,814
19,06/01/2015,761
19,06/01/2016,660
19,06/01/2017,745
19,07/01/2012,766
19,07/01/2013,754
19,07/01/2014,720
19,07/01/2015,790
19,07/01/2016,654
19,07/01/2017,627
19,08/01/2012,695
19,08/01/2013,682
19,08/01/2014,735
19,08/01/2015,775
19,08/01/2016,604
19,08/01/2017,537
19,09/01/2012,584
19,09/01/2013,643
19,09/01/2014,671
19,09/01/2015,643
19,09/01/2016,604
19,09/01/2017,501
19,10/01/2012,661
19,10/01/2013,723
19,10/01/2014,716
19,10/01/2015,821
19,10/01/2016,635
19,10/01/2017,641
19,11/01/2012,700
19,11/01/2013,737
19,11/01/2014,715
19,11/01/2015,778
19,11/01/2016,623
19,11/01/2017,586
19,12/01/2012,736
19,12/01/2013,766
19,12/01/2014,749
19,12/01/2015,833
19,12/01/2016,622
19,12/01/2017,638
2,01/01/2013,172
2,01/01/2014,139
2,01/01/2015,165
2,01/01/2016,189
2,01/01/2017,140
2,01/01/2018,122
2,02/01/2013,148
2,02/01/2014,121
2,02/01/2015,137
2,02/01/2016,129
2,02/01/2017,97
2,02/01/2018,106
2,03/01/2013,129
2,03/01/2014,129
2,03/01/2015,139
2,03/01/2016,161
2,03/01/2017,121
2,03/01/2018,123
2,04/01/2013,131
2,04/01/2014,142
2,04/01/2015,129
2,04/01/2016,150
2,04/01/2017,129
2,04/01/2018,5
2,05/01/2013,137
2,05/01/2014,162
2,05/01/2015,176
2,05/01/2016,161
2,05/01/2017,140
2,06/01/2013,180
2,06/01/2014,168
2,06/01/2015,166
2,06/01/2016,161
2,06/01/2017,133
2,07/01/2012,187
2,07/01/2013,179
2,07/01/2014,169
2,07/01/2015,157
2,07/01/2016,198
2,07/01/2017,153
2,08/01/2012,173
2,08/01/2013,154
2,08/01/2014,170
2,08/01/2015,182
2,08/01/2016,150
2,08/01/2017,130
2,09/01/2012,162
2,09/01/2013,196
2,09/01/2014,119
2,09/01/2015,176
2,09/01/2016,130
2,09/01/2017,152
2,10/01/2012,135
2,10/01/2013,137
2,10/01/2014,137
2,10/01/2015,179
2,10/01/2016,140
2,10/01/2017,123
2,11/01/2012,129
2,11/01/2013,161
2,11/01/2014,153
2,11/01/2015,170
2,11/01/2016,130
2,11/01/2017,108
2,12/01/2012,212
2,12/01/2013,151
2,12/01/2014,150
2,12/01/2015,149
2,12/01/2016,153
2,12/01/2017,147
20,01/01/2013,542
20,01/01/2014,526
20,01/01/2015,492
20,01/01/2016,596
20,01/01/2017,443
20,01/01/2018,447
20,02/01/2013,497
20,02/01/2014,495
20,02/01/2015,457
20,02/01/2016,491
20,02/01/2017,437
20,02/01/2018,394
20,03/01/2013,600
20,03/01/2014,558
20,03/01/2015,563
20,03/01/2016,622
20,03/01/2017,481
20,03/01/2018,495
20,04/01/2013,530
20,04/01/2014,597
20,04/01/2015,541
20,04/01/2016,574
20,04/01/2017,474
20,04/01/2018,51
20,05/01/2013,563
20,05/01/2014,561
20,05/01/2015,617
20,05/01/2016,581
20,05/01/2017,465
20,06/01/2013,631
20,06/01/2014,586
20,06/01/2015,629
20,06/01/2016,511
20,06/01/2017,532
20,07/01/2012,610
20,07/01/2013,581
20,07/01/2014,593
20,07/01/2015,610
20,07/01/2016,521
20,07/01/2017,484
20,08/01/2012,616
20,08/01/2013,567
20,08/01/2014,578
20,08/01/2015,638
20,08/01/2016,523
20,08/01/2017,476
20,09/01/2012,554
20,09/01/2013,588
20,09/01/2014,619
20,09/01/2015,662
20,09/01/2016,489
20,09/01/2017,481
20,10/01/2012,585
20,10/01/2013,627
20,10/01/2014,673
20,10/01/2015,724
20,10/01/2016,552
20,10/01/2017,509
20,11/01/2012,561
20,11/01/2013,616
20,11/01/2014,612
20,11/01/2015,585
20,11/01/2016,538
20,11/01/2017,506
20,12/01/2012,624
20,12/01/2013,630
20,12/01/2014,634
20,12/01/2015,700
20,12/01/2016,534
20,12/01/2017,531
21,01/01/2013,444
21,01/01/2014,422
21,01/01/2015,403
21,01/01/2016,449
21,01/01/2017,345
21,01/01/2018,351
21,02/01/2013,371
21,02/01/2014,437
21,02/01/2015,364
21,02/01/2016,408
21,02/01/2017,305
21,02/01/2018,358
21,03/01/2013,496
21,03/01/2014,419
21,03/01/2015,488
21,03/01/2016,488
21,03/01/2017,414
21,03/01/2018,395
21,04/01/2013,451
21,04/01/2014,447
21,04/01/2015,431
21,04/01/2016,496
21,04/01/2017,410
21,04/01/2018,28
21,05/01/2013,487
21,05/01/2014,516
21,05/01/2015,549
21,05/01/2016,497
21,05/01/2017,441
21,06/01/2013,557
21,06/01/2014,468
21,06/01/2015,497
21,06/01/2016,427
21,06/01/2017,454
21,07/01/2012,513
21,07/01/2013,483
21,07/01/2014,562
21,07/01/2015,532
21,07/01/2016,460
21,07/01/2017,491
21,08/01/2012,510
21,08/01/2013,476
21,08/01/2014,496
21,08/01/2015,586
21,08/01/2016,487
21,08/01/2017,448
21,09/01/2012,460
21,09/01/2013,476
21,09/01/2014,476
21,09/01/2015,540
21,09/01/2016,446
21,09/01/2017,435
21,10/01/2012,499
21,10/01/2013,476
21,10/01/2014,525
21,10/01/2015,543
21,10/01/2016,444
21,10/01/2017,363
21,11/01/2012,417
21,11/01/2013,460
21,11/01/2014,456
21,11/01/2015,479
21,11/01/2016,367
21,11/01/2017,428
21,12/01/2012,461
21,12/01/2013,496
21,12/01/2014,535
21,12/01/2015,523
21,12/01/2016,391
21,12/01/2017,409
22,01/01/2013,359
22,01/01/2014,363
22,01/01/2015,356
22,01/01/2016,424
22,01/01/2017,290
22,01/01/2018,326
22,02/01/2013,332
22,02/01/2014,324
22,02/01/2015,327
22,02/01/2016,370
22,02/01/2017,317
22,02/01/2018,291
22,03/01/2013,415
22,03/01/2014,401
22,03/01/2015,400
